,koff,delta_koff_sq
0,10.0,201.96067362598276
1,11.0,357.650638077504
2,12.0,702.4732229290489
3,13.0,843.8115807283599
4,14.0,1036.6030132638596
5,15.0,1001.4240560359563
6,16.0,1508.3406583133692
7,17.0,1354.3277304033654
8,18.0,1765.7319806702392
9,19.0,2414.184829363528
10,20.0,2982.8411386935363
11,21.0,3883.0264559601915
12,22.0,5440.780513637
13,23.0,6321.823345960554
14,24.0,9084.402575706903
15,25.0,11135.549944859473
16,26.0,10405.62826569467
17,27.0,12222.815096644461
18,28.0,9644.469381963912
19,29.0,11885.791287063308
20,30.0,11616.112909915597
21,31.0,11700.332661558228
22,32.0,11090.616573944799
23,33.0,14353.350746431846
24,34.0,14141.954379538682
25,35.0,17452.406897704474
26,36.0,17497.885041489208
27,37.0,21521.209621017937
28,38.0,25377.056173803227
29,39.0,27569.845144590076
30,40.0,30621.757164073417
31,41.0,46196.624921571354
32,42.0,47731.52699709255
33,43.0,71693.85151576785
34,44.0,129556.43711312827
35,45.0,191743.97919330918
36,46.0,453604.81951286073
37,47.0,1602754.5591731311
38,48.0,1082629932.2828603
39,49.0,1687906.41860237
