,koff,mean_N,var_N
0,10.0,0.2656,0.8128566399999999
1,11.0,0.2135,0.61151775
2,12.0,0.1912,0.51384256
3,13.0,0.1496,0.35561984
4,14.0,0.1413,0.33593431
5,15.0,0.1068,0.24579375999999997
6,16.0,0.1143,0.27583551
7,17.0,0.0898,0.18133596000000002
8,18.0,0.0802,0.16996796
9,19.0,0.0779,0.16403159
10,20.0,0.0676,0.14063024
11,21.0,0.0629,0.12534359
12,22.0,0.06,0.1196
13,23.0,0.0536,0.09552704000000001
14,24.0,0.051,0.09759899999999999
15,25.0,0.046,0.091084
16,26.0,0.0413,0.07219431
17,27.0,0.0405,0.07665975
18,28.0,0.0327,0.05443071
19,29.0,0.0338,0.060057559999999996
20,30.0,0.0323,0.05225671
21,31.0,0.0288,0.04657056
22,32.0,0.0248,0.03878496
23,33.0,0.0254,0.04375484
24,34.0,0.0236,0.03724304
25,35.0,0.0224,0.039298240000000005
26,36.0,0.0203,0.033287910000000004
27,37.0,0.0222,0.03410716
28,38.0,0.0235,0.032947750000000005
29,39.0,0.0191,0.02873519
30,40.0,0.0177,0.02498671
31,41.0,0.0177,0.028586709999999998
32,42.0,0.0147,0.021483910000000002
33,43.0,0.0152,0.02216896
34,44.0,0.0164,0.025331040000000003
35,45.0,0.0148,0.02078096
36,46.0,0.0144,0.02139264
37,47.0,0.0132,0.018025760000000002
38,48.0,0.0123,0.018548710000000003
39,49.0,0.0139,0.02170679
