,koff,mean_N,var_N
0,10.0,9.02,22.587599999999995
1,11.0,8.366,20.018044000000003
2,12.0,7.56,17.562399999999997
3,13.0,7.298,17.207196000000003
4,14.0,6.636,15.671503999999999
5,15.0,6.192,12.931135999999995
6,16.0,5.869,12.999839000000001
7,17.0,5.713,11.066630999999994
8,18.0,5.129,9.854359000000006
9,19.0,5.032,9.806975999999999
10,20.0,4.717,9.378911000000006
11,21.0,4.611,8.809679000000003
12,22.0,4.38,7.439599999999999
13,23.0,4.108,7.390336000000001
14,24.0,4.115,7.747775000000001
15,25.0,3.754,7.001484000000001
16,26.0,3.556,5.952863999999998
17,27.0,3.7,6.187999999999999
18,28.0,3.481,5.837638999999999
19,29.0,3.367,5.910311
20,30.0,3.214,4.958204
21,31.0,3.034,4.466844000000002
22,32.0,3.092,4.681536000000001
23,33.0,2.919,4.808439
24,34.0,2.834,4.482443999999999
25,35.0,2.665,4.078774999999999
26,36.0,2.666,4.058444000000001
27,37.0,2.562,4.074156
28,38.0,2.465,3.604775
29,39.0,2.552,3.703295999999999
30,40.0,2.407,3.3573509999999995
31,41.0,2.4,3.3840000000000003
32,42.0,2.337,3.559431
33,43.0,2.264,3.488304000000002
34,44.0,2.237,3.360831
35,45.0,2.182,3.1628760000000007
36,46.0,2.085,2.779775
37,47.0,2.055,2.9019749999999993
38,48.0,1.977,2.6544709999999996
39,49.0,2.089,3.1070790000000006
