,koff,mean_N,var_N
0,0.001,3143.31,459066.17390000075
1,0.0035,3093.6,462848.54000000097
2,0.006,3069.86,429554.1403999999
3,0.0085,3010.66,432048.60440000147
4,0.011,2978.02,420680.19959999993
5,0.013500000000000002,2951.03,425607.5890999995
6,0.016,2931.67,419299.8010999989
7,0.018500000000000003,2908.06,385602.59640000015
8,0.021,2842.5,411411.05000000075
9,0.0235,2838.64,387765.1704000011
10,0.026000000000000002,2774.24,380511.72240000125
11,0.0285,2762.09,381050.3618999999
12,0.031,2745.43,396087.405100001
13,0.0335,2703.45,374220.04750000127
14,0.036000000000000004,2654.92,387430.9935999997
15,0.0385,2625.62,378596.5156000005
16,0.041,2578.16,361006.6944000004
17,0.043500000000000004,2569.67,318487.3010999998
18,0.046,2565.44,339933.5064000003
19,0.0485,2508.52,349571.76960000023
20,0.051000000000000004,2478.51,353403.24989999924
21,0.0535,2469.95,366732.4275000002
22,0.056,2414.14,360497.6804000009
23,0.0585,2403.69,349034.3538999995
24,0.061,2360.79,310313.0059000002
25,0.0635,2362.57,316383.745099999
26,0.066,2320.92,288580.03359999973
27,0.0685,2292.49,290186.44990000036
28,0.07100000000000001,2289.83,278989.54110000003
29,0.0735,2259.99,339818.1899000015
30,0.076,2193.23,259663.45710000023
31,0.0785,2184.89,294513.99789999984
32,0.081,2208.15,260376.40749999974
33,0.0835,2148.09,259081.80189999938
34,0.08600000000000001,2135.85,242836.02750000078
35,0.08850000000000001,2129.53,269027.5890999995
36,0.091,2110.7,270966.1900000004
37,0.0935,2073.39,245121.9179000007
38,0.096,2029.84,246999.4944000002
39,0.0985,2020.29,227081.78590000002
40,0.125,1853.72,212086.66159999976
41,0.15,1659.76,138004.90240000002
42,0.175,1538.13,148938.11309999926
43,0.19999999999999998,1379.18,107159.80759999994
44,0.22499999999999998,1316.42,131391.8635999998
45,0.24999999999999997,1196.36,89033.83040000033
46,0.27499999999999997,1127.45,90044.3274999999
47,0.29999999999999993,1023.26,80926.99239999999
48,0.32499999999999996,985.39,84240.05790000001
49,0.35,891.65,56882.207500000135
50,0.37499999999999994,835.43,52294.6851
51,0.3999999999999999,804.32,50580.6176
52,0.42499999999999993,776.8,50740.10000000009
53,0.44999999999999996,695.14,37480.840400000045
54,0.4749999999999999,671.87,31828.913100000005
55,0.4999999999999999,657.3,30596.93000000005
56,0.5249999999999999,618.36,25555.2304
57,0.5499999999999999,588.88,25641.545600000012
58,0.575,560.78,21662.65160000004
59,0.5999999999999999,533.63,20619.05310000002
60,0.6249999999999999,518.03,19507.669100000057
61,0.6499999999999999,505.11,21151.377899999963
62,0.6749999999999998,480.9,17483.23000000004
63,0.6999999999999998,468.06,18066.956399999995
64,0.7249999999999999,447.73,13537.557099999976
65,0.7499999999999999,433.45,14491.627500000002
66,0.7749999999999999,421.52,16229.689600000012
67,0.7999999999999998,402.37,12510.993099999992
68,0.8249999999999998,395.01,11162.429899999988
69,0.8499999999999999,380.58,11654.963600000017
70,0.8749999999999998,374.5,10914.029999999999
71,0.8999999999999998,358.63,9726.793099999995
72,0.9249999999999998,359.02,9994.599600000001
73,0.9499999999999998,355.96,8979.698400000023
74,0.9749999999999999,345.44,8731.486399999994
75,0.9999999999999998,336.48,9094.709599999987
76,1.025,317.92,8511.513599999991
77,1.0499999999999998,311.9,7317.210000000021
78,1.0749999999999997,298.59,6561.541900000011
79,1.0999999999999996,294.28,7259.101600000024
80,1.1249999999999998,295.67,7733.761099999989
81,1.1499999999999997,294.37,6082.593099999984
82,1.1749999999999998,290.62,5827.475600000005
83,1.1999999999999997,278.4,5300.8200000000215
84,1.2249999999999996,269.9,5429.529999999999
85,1.2499999999999998,259.4,4857.460000000021
86,1.2749999999999997,256.04,4324.978399999993
87,1.2999999999999998,243.58,3446.063599999994
88,1.3249999999999997,244.24,3914.182399999998
89,1.3499999999999996,242.58,3441.323599999989
90,1.3749999999999998,236.37,3195.893099999994
91,1.3999999999999997,235.59,3022.2019
92,1.4249999999999998,233.67,3073.2411000000066
93,1.4499999999999997,230.59,2811.341899999992
94,1.4749999999999996,226.88,2820.4056000000055
95,1.4999999999999998,222.7,2873.810000000005
96,1.5249999999999997,221.39,3083.777900000001
97,1.5499999999999996,217.72,2658.3415999999997
98,1.5749999999999997,212.99,2620.9498999999996
99,1.5999999999999996,207.17,2292.161100000005
100,1.6249999999999996,202.61,2354.8778999999995
101,1.6499999999999997,201.53,2278.469099999995
102,1.6749999999999996,200.86,2345.8403999999937
103,1.6999999999999997,196.42,2275.723600000005
104,1.7249999999999996,192.84,2203.6143999999986
