,koff,mean_N,var_N
0,0.001,3080.9,320779.0099999998
1,0.0035,3036.45,309087.2075000014
2,0.006,2994.47,317908.84910000116
3,0.0085,2951.17,292270.7810999993
4,0.011,2921.52,300805.2095999997
5,0.013500000000000002,2915.76,297387.04239999875
6,0.016,2864.64,288255.8504000008
7,0.018500000000000003,2837.4,287791.07999999914
8,0.021,2796.44,303618.8064000001
9,0.0235,2770.61,319944.077899999
10,0.026000000000000002,2751.03,276716.1490999991
11,0.0285,2718.69,245184.45389999915
12,0.031,2686.87,277543.69310000073
13,0.0335,2633.12,253731.42560000066
14,0.036000000000000004,2613.26,291116.97239999846
15,0.0385,2615.67,301870.9410999995
16,0.041,2560.92,252314.6135999998
17,0.043500000000000004,2497.01,251041.3898999989
18,0.046,2491.09,268477.68189999927
19,0.0485,2466.05,255422.4274999993
20,0.051000000000000004,2426.62,221143.77560000122
21,0.0535,2414.46,266072.8284
22,0.056,2394.28,253079.06159999967
23,0.0585,2338.09,216019.0818999987
24,0.061,2347.26,231046.4723999994
25,0.0635,2344.11,221752.1978999991
26,0.066,2314.71,220903.20589999948
27,0.0685,2281.45,220291.4675000012
28,0.07100000000000001,2259.87,186947.23310000077
29,0.0735,2220.91,185396.86190000083
30,0.076,2195.61,217384.4978999989
31,0.0785,2168.56,203652.16639999952
32,0.081,2153.92,185907.87359999958
33,0.0835,2127.0,204519.33999999985
34,0.08600000000000001,2121.05,177910.4274999993
35,0.08850000000000001,2073.94,212303.73639999982
36,0.091,2064.38,190531.1956000002
37,0.0935,2039.79,157018.02589999977
38,0.096,2015.13,176439.59309999924
39,0.0985,1985.58,155313.36360000027
